DateTime,I3
2009-12-16,15.25
2009-12-17,16.86
2009-12-18,19.97
2009-12-19,17.88
2009-12-20,20.17
2009-12-21,18.64
2009-12-22,15.91
2009-12-23,19.99
2009-12-24,18.31
2009-12-25,19.84
2009-12-26,19.5
2009-12-27,20.33
2009-12-28,19.93
2009-12-29,23.44
2009-12-30,20.84
2009-12-31,18.49
2010-01-01,17.41
2010-01-02,18.35
2010-01-03,19.7
2010-01-04,22.17
2010-01-05,19.45
2010-01-06,18.99
2010-01-07,19.93
2010-01-08,18.85
2010-01-09,17.09
2010-01-10,17.94
2010-01-11,18.61
2010-01-12,17.06
2010-01-13,15.92
2010-01-14,17.35
2010-01-15,23.63
2010-01-16,18.37
2010-01-17,18.08
2010-01-18,20.49
2010-01-19,23.86
2010-01-20,24.58
2010-01-21,26.24
2010-01-22,22.34
2010-01-23,21.45
2010-01-24,15.88
2010-01-25,18.72
2010-01-26,19.86
2010-01-27,25.05
2010-01-28,25.25
2010-01-29,25.1
2010-01-30,24.68
2010-01-31,26.22
2010-02-01,18.76
2010-02-02,20.34
2010-02-03,22.83
2010-02-04,23.93
2010-02-05,24.27
2010-02-06,25.91
2010-02-07,26.33
2010-02-08,23.81
2010-02-09,21.87
2010-02-10,22.02
2010-02-11,21.97
2010-02-12,20.76
2010-02-13,24.68
2010-02-14,24.23
2010-02-15,20.39
2010-02-16,22.08
2010-02-17,22.64
2010-02-18,20.08
2010-02-19,26.68
2010-02-20,19.08
2010-02-21,20.63
2010-02-22,21.69
2010-02-23,21.9
2010-02-24,22.72
2010-02-25,25.52
2010-02-26,20.29
2010-02-27,19.65
2010-02-28,24.92
2010-03-01,21.98
2010-03-02,23.44
2010-03-03,20.97
2010-03-04,19.4
2010-03-05,20.88
2010-03-06,25.78
2010-03-07,20.49
2010-03-08,18.93
2010-03-09,20.02
2010-03-10,19.65
2010-03-11,24.02
2010-03-12,18.1
2010-03-13,17.83
2010-03-14,17.46
2010-03-15,21.2
2010-03-16,26.24
2010-03-17,18.65
2010-03-18,15.59
2010-03-19,16.13
2010-03-20,17.15
2010-03-21,20.32
2010-03-22,18.44
2010-03-23,21.35
2010-03-24,18.55
2010-03-25,20.86
2010-03-26,16.64
2010-03-27,18.66
2010-03-28,19.91
2010-03-29,16.33
2010-03-30,17.87
2010-03-31,20.34
2010-04-01,20.45
2010-04-02,20.01
2010-04-03,18.67
2010-04-04,19.81
2010-04-05,19.03
2010-04-06,15.95
2010-04-07,12.79
2010-04-08,14.74
2010-04-09,15.42
2010-04-10,18.28
2010-04-11,18.35
2010-04-12,17.88
2010-04-13,19.35
2010-04-14,20.96
2010-04-15,17.97
2010-04-16,17.71
2010-04-17,15.28
2010-04-18,17.29
2010-04-19,19.12
2010-04-20,17.95
2010-04-21,18.75
2010-04-22,15.91
2010-04-23,15.01
2010-04-24,15.75
2010-04-25,17.05
2010-04-26,20.69
2010-04-27,21
2010-04-28,20.1
2010-04-29,16.27
2010-04-30,19.2
2010-05-01,18.73
2010-05-02,17.24
2010-05-03,14.6
2010-05-04,14.1
2010-05-05,17.06
2010-05-06,14.4
2010-05-07,15.5
2010-05-08,16.96
2010-05-09,16.18
2010-05-10,17.85
2010-05-11,17.62
2010-05-12,18
2010-05-13,18.26
2010-05-14,20.99
2010-05-15,20.31
2010-05-16,17.78
2010-05-17,17.02
2010-05-18,18.04
2010-05-19,16.18
2010-05-20,14.74
2010-05-21,14.65
2010-05-22,14.14
2010-05-23,15.19
2010-05-24,13.38
2010-05-25,15.33
2010-05-26,15.5
2010-05-27,13.68
2010-05-28,10.47
2010-05-29,10.56
2010-05-30,12.65
2010-05-31,11.31
2010-06-01,10.72
2010-06-02,10.69
2010-06-03,13.19
2010-06-04,14.08
2010-06-05,13.55
2010-06-06,13.58
2010-06-07,16.37
2010-06-08,16.31
2010-06-09,8.61
2010-06-10,9.79
2010-06-11,13.24
2010-06-12,13.76
2010-06-13,14.68
2010-06-14,10.04
2010-06-15,10.32
2010-06-16,9.29
2010-06-17,12.41
2010-06-18,12.07
2010-06-19,14.06
2010-06-20,16.46
2010-06-21,14.27
2010-06-22,13.81
2010-06-23,12.53
2010-06-24,12.88
2010-06-25,12.42
2010-06-26,12.03
2010-06-27,11.59
2010-06-28,9.78
2010-06-29,13.02
2010-06-30,11.44
2010-07-01,10.41
2010-07-02,10.01
2010-07-03,13.85
2010-07-04,13.33
2010-07-05,14.07
2010-07-06,11.4
2010-07-07,12.2
2010-07-08,11.59
2010-07-09,10.71
2010-07-10,8.62
2010-07-11,8.73
2010-07-12,8.35
2010-07-13,11.17
2010-07-14,10.43
2010-07-15,10.75
2010-07-16,12.05
2010-07-17,13.46
2010-07-18,13
2010-07-19,12.44
2010-07-20,12.26
2010-07-21,13.22
2010-07-22,12.38
2010-07-23,10.81
2010-07-24,10.97
2010-07-25,11.23
2010-07-26,11.34
2010-07-27,10.66
2010-07-28,11.39
2010-07-29,12.36
2010-07-30,11.81
2010-07-31,11.58
2010-08-01,13.27
2010-08-02,13.71
2010-08-03,14.26
2010-08-04,12.71
2010-08-05,14.02
2010-08-06,11.96
2010-08-07,13.01
2010-08-08,14.23
2010-08-09,12.78
2010-08-10,7.747
2010-08-11,10.29
2010-08-12,13.13
2010-08-13,12.19
2010-08-14,15.76
2010-08-15,13.9
2010-08-16,12.11
2010-08-17,15.43
2010-08-18,14.99
2010-08-19,11.76
2010-08-20,13.31
2010-08-21,11.23
2010-08-22,11.56
2010-08-23,12.94
2010-08-24,13.69
2010-08-25,12.56
2010-08-26,13.11
2010-08-27,15.57
2010-08-28,15.36
2010-08-29,16.43
2010-08-30,13.68
2010-08-31,13.28
2010-09-01,12.8
2010-09-02,13
2010-09-03,12.04
2010-09-04,12.25
2010-09-05,12.18
2010-09-06,12.25
2010-09-07,13.5
2010-09-08,14.2
2010-09-09,16.24
2010-09-10,13.58
2010-09-11,14.86
